threads,run,elapsed,tps,avg_lat,p50_lat,p95_lat,p99_lat
4,4,1.0436270510000014,19163.934070927004,0.2031447343999453,0.17636800001241681,0.23072400000501148,0.3459810000094876
4,5,1.0417655480000008,19198.17759225801,0.201603477549952,0.1760699999948656,0.22966000000224085,0.33931100000472725
4,6,1.040169485000007,19227.635773221962,0.2025124409499938,0.17283200000406396,0.2299209999989671,0.34786300000178016
4,7,1.0163664979999965,19677.94101768993,0.19788025160002293,0.17336499999487387,0.22935799999856954,0.34208199998886357
4,8,1.0251128190000003,19510.04770334454,0.198509036350017,0.1727209999984325,0.23321300000134215,0.3598970000098234
4,9,1.0377346809999892,19272.748965783296,0.20068208689998315,0.1732650000008107,0.22639400000912246,0.3408319999920195
8,0,0.581193746000011,34411.93257437361,0.22761848969998227,0.1809879999967734,0.24460200000930854,0.4171900000073947
8,1,0.6039597559999947,33114.78919135164,0.2348140616500345,0.1821460000002162,0.24959200000296278,0.5156680000055758
8,2,0.5704089299999993,35062.56467618771,0.22239574089996736,0.18348399999013054,0.24259699999618078,0.4049549999933788
8,3,0.5758811010000073,34729.39112825608,0.22276557999997665,0.18015599999898768,0.2380270000088558,0.45641500000215274
8,4,0.5923014060000042,33766.59213940791,0.2312100168000221,0.18718300000841737,0.25101999999321833,0.4425740000044698
8,5,0.6330992409999965,31590.62387819244,0.24764312485001766,0.1928049999975201,0.256398000004765,0.42565700000807283
8,6,0.6166320610000042,32434.252555025458,0.24206759164995403,0.19664699999566437,0.2618279999921924,0.3972040000093102
8,7,0.6218754489999867,32160.78079969423,0.2424369591499918,0.19653600000424376,0.261352999999076,0.44234899999651134
8,8,0.6269258819999948,31901.697751250547,0.24460992499998396,0.1945159999934276,0.26838599998768586,0.48944499999947766
8,9,0.6179675519999961,32364.15882237151,0.2426661917500411,0.1917139999960682,0.25929400000279657,0.45293499999843334
16,0,0.5620016470000024,35587.084320412876,0.43817443464995665,0.34069400000191763,0.5045999999993,1.7238460000044142
16,1,0.5500770069999987,36358.54570449269,0.42741523655002356,0.34424000000399246,0.5019500000003063,1.5985900000003994
16,2,0.5801012950000057,34476.737377391655,0.43900330469996546,0.34003099999324604,0.505627999999092,2.0802690000039092
16,3,0.5595716639999893,35741.623971867855,0.4283495001000112,0.33109900000738435,0.5412929999977223,1.8213059999965253
16,4,0.5760126059999919,34721.46232855237,0.44627341834998974,0.339804999995863,0.5257480000011583,1.8706669999914993
16,5,0.5497657939999954,36379.12765449385,0.43196255294995467,0.3426189999942153,0.5327150000056236,2.2574759999969274
16,6,0.5779001079999944,34608.057211161125,0.4366162476500449,0.3462490000032403,0.5085500000063803,1.9968160000018997
16,7,0.564389005999999,35436.55136329859,0.43761440534998786,0.33350900000073125,0.5061359999984916,3.0808540000037965
16,8,0.5711878579999876,35014.74991087859,0.43908653784999885,0.3449120000027506,0.47104899999794725,2.300594999994132
16,9,0.5455546020000099,36659.94187690793,0.41447573380002256,0.3422719999974788,0.4688279999953693,1.7367370000016535
32,0,0.5090255660000054,39290.75735264698,0.7200962028999939,0.5447719999978062,1.1332819999978483,8.15645299999801
32,1,0.5150581409999972,38830.567673718426,0.7695616731499932,0.5486219999966124,1.2793060000007017,8.886270999994395
32,2,0.5073036749999886,39424.11810835088,0.7380120804500236,0.5505160000041087,1.3050190000001294,8.792885000005413
32,3,0.5192603760000054,38516.322300702166,0.7974193025999782,0.5537090000018452,1.165694999997413,8.40737599999386
32,4,0.4824600480000072,41454.20969655026,0.7123748622500884,0.5538610000002109,1.3624150000026702,7.391040000001681
32,5,0.4986859790000011,40105.39867213703,0.702577361799927,0.5255799999872579,1.242368000006877,9.982527999994772
32,6,0.5115702370000008,39095.315859823895,0.7396237596500136,0.5692470000013827,1.07973900000502,8.0798150000021
32,7,0.5138933469999927,38918.58129076009,0.7534169528499817,0.5337899999915408,1.0465489999944566,10.57660300000407
32,8,0.48291757699999494,41414.93487200241,0.7189614462999643,0.549919999997428,1.1108120000073995,8.77339800000243
32,9,0.4958568380000088,40334.222435386975,0.7326445264999819,0.5627660000016022,1.0393510000028527,6.378581000006989
64,0,0.5311051409999976,37657.32706398353,1.3186796474499836,1.0704900000035877,1.585935000008476,17.375155999999947
64,1,0.5625533620000027,35552.18287007572,1.507256037299952,1.137297999989073,1.7641830000059144,24.474273000009816
64,2,0.5351679909999945,37371.44286718038,1.4765014367999982,1.1677690000055918,1.850082999993674,17.719657000000666
64,3,0.5520673859999903,36227.46155122511,1.2652006962000009,1.0307519999912529,1.7316300000089768,13.245725999993851
64,4,0.5609062839999837,35656.58037805221,1.5167580685500497,1.1520560000235491,2.28586400000097,17.680959000003327
64,5,0.5513982960000021,36271.421484407205,1.578582487749881,1.129160999994383,2.3897190000070623,21.173242000003256
64,6,0.5318671370000061,37603.376122860114,1.44854433954997,1.0899650000055772,1.755801000001611,19.788981000004924
64,7,0.5197269920000167,38481.741968097274,1.4358086858999983,1.1113779999902818,1.699567000002844,22.503013999994437
64,8,0.5267660180000178,37967.521283803326,1.4490912937000417,1.094641000008778,2.2988079999777256,17.857048000024633
64,9,0.5538962290000029,36107.84647533662,1.3933158733999988,1.1088150000091446,1.6728280000108953,15.009281999994073
128,0,0.5541981359999966,36088.176233057784,2.559983983400015,1.5365470000006098,5.508941000016421,37.888935000012225
128,1,0.5411837140000273,36956.027098773695,2.5572597907499954,1.8571640000004663,9.23211200000651,27.461677000019336
128,2,0.5510807560000046,36292.32155586255,2.349650489899962,1.6961789999925259,2.8908099999966907,35.66280399999755
128,3,0.5711655590000078,35016.11692941683,2.504846963849984,1.8470469999840589,3.2242040000198813,41.42669399999477
128,4,0.5598879810000028,35721.431212505166,2.674604692699977,1.8942250000009153,6.373114000012947,36.66436800000383
